depart;arrivee;duree
Gare de Laon;Gare de Paris Gare du Nord;90
Gare de Crépy-en-Valois;Gare de Laon;69
Gare de Paris-St-Lazare;Gare de Vernon-Giverny;60
Gare de Oissel;Gare de Paris-St-Lazare;94
Gare de Mantes-la-Jolie;Gare de Vernon-Giverny;17
Gare de Le Havre;Gare de Montivilliers;15
Gare de Le Havre;Gare de Rolleville;26
Gare de Fécamp;Gare de Le Havre;46
Gare de Le Havre;Gare de Rouen-Rive-Droite;61
Gare de Elbeuf-St-Aubin;Gare de Yvetot;63
Gare de Rouen-Rive-Droite;Gare de Yvetot;34
Gare de Evreux;Normandie;69
Gare de Paris-St-Lazare;Gare de Serquigny;105
Gare de Bueil;Gare de Mantes-la-Jolie;15
Gare de Dieppe;Gare de Rouen-Rive-Droite;63
Gare de Evreux;Normandie;52
Gare de Caen;Gare de Lisieux;33
Gare de Caen;Gare de Coutances;75
Gare de Caen;Gare de St-Lô;51
Gare de Caen;Gare de Dol;167
Gare de Dol;Gare de Granville;59
Gare de Argentan;Gare de Granville;83
Gare de Caen;Gare de Granville;103
Gare de Alençon;Gare de Caen;71
Gare de Argentan;Gare de Caen;40
Gare de Rennes;Gare de Retiers;42
Gare de Janzé;Gare de Rennes;36
Gare de Dol;Gare de Rennes;33
Gare de Montreuil-sur-Ille;Gare de Rennes;30
Gare de Rennes;Gare de St-Malo;55
Gare de Lannion;Gare de Plouaret-Trégor;16
Gare de Callac;Gare de Carhaix;26
Gare de Callac;Gare de Guingamp;41
Gare de Guingamp;Gare de Paimpol;47
Gare de La Brohinière;Gare de Rennes;32
Gare de Brest;Gare de Lannion;91
Gare de Brest;Gare de Rennes;139
Gare de Quimper;Gare de Vannes;86
Gare de Quimper;Gare de Rennes;141
Gare de Château-du-Loir;Gare de Le Mans;50
Gare de Alençon;Gare de Le Mans;53
Gare de Alençon;Gare de Tours;145
Gare de Alençon;Gare de Château-du-Loir;106
Gare de Le Mans;Gare de Nantes;94
Gare de Angers-St-Laud;Gare de Nantes;43
Gare de Le Croisic;Gare de Le Mans;177
Gare de Angers-St-Laud;Gare de Le Mans;66
Gare de Le Mans;Gare de Sablé-sur-Sarthe;22
Gare de Laval;Gare de Rennes;55
Gare de Le Mans;Gare de Rennes;103
Gare de Laval;Gare de Nantes;101
Gare de Le Croisic;Gare de Rennes;222
Gare de Nantes;Gare de St-Nazaire;51
Gare de Le Croisic;Gare de Nantes;74
Gare de Nantes;Gare de Redon;58
Gare de Nantes;Gare de Quimper;174
Gare de Brest;Gare de Nantes;203
Gare de Nantes;Gare de Savenay;34
Gare de Nantes;Gare de Saumur;86
Gare de Cholet;Gare de Saumur;85
Gare de La Roche-sur-Yon;Gare de Nantes;55
Gare de Les Sables-d'Olonne;Gare de Nantes;87
Gare de Chantonnay;Gare de La Roche-sur-Yon;31
Gare de Les Sables-d'Olonne;Gare de Saumur;158
Gare de Nantes;Gare de Ste-Pazanne;32
Gare de Nantes;Gare de Pornic;60
Gare de Ancenis;Gare de Nantes;28
Gare de Nantes;Gare de Sucé-Sur-Erdre;27
Gare de Nantes;Gare de Nort-sur-Erdre;40
Gare de Châteaubriant-TT;Gare de Nantes;67
Gare de Clisson;Gare de Nantes;29
Gare de Nantes;Gare de Orléans;170
Gare de Le Croisic;Gare de Orléans;258
Gare de Le Croisic;Gare de Tours;190
Gare de Nantes;Gare de Tours;93
Gare de Angers-St-Laud;Gare de Tours;78
Gare de Saumur;Gare de Tours;51
Gare de Thouars;Gare de Tours;78
Gare de Bressuire;Gare de Tours;103
Gare de Angers-St-Laud;Gare de Thouars;68
Gare de Blois-Chambord;Gare de Orléans;49
Gare de Orléans;Gare de St-Pierre-des-Corps;58
Gare de Reignac;Gare de Tours;45
Gare de Paris-Austerlitz;Gare de Vendôme;139
Gare de Châteaudun;Gare de Paris-Austerlitz;95
Gare de Châteaudun;Gare de Paris-Gare-de-Lyon;97
Gare de Paris-Gare-de-Lyon;Gare de Vendôme;132
Gare de Paris-Bercy;Gare de Vendôme;149
Gare de Châteaudun;Gare de Voves;21
Gare de Tours;Gare de Voves;137
Gare de Bléré-la-Croix;Gare de Tours;28
Gare de St-Aignan-Noyers;Gare de Tours;57
Gare de Tours;Gare de Vierzon;87
Gare de Bourges;Gare de Tours;110
Gare de Nevers;Gare de Tours;146
Gare de Saumur;Gare de Thouars;30
Gare de Montluçon-Ville;Gare de Vallon-en-Sully;31
Gare de Commentry;Gare de Vallon-en-Sully;47
Gare de Commentry;Gare de St-Amand-Montrond-Orval;98
Gare de Bourges;Gare de Commentry;121
Gare de Salbris;Gare de Valençay;87
Gare de Bourges;Gare de Orléans;73
Gare de Orléans;Gare de Vierzon;51
Gare de Nevers;Gare de Orléans;132
Gare de Nevers;Gare de Vierzon;69
Gare de Argenton-sur-Creuse;Gare de Orléans;117
Gare de Châteauroux;Gare de Orléans;95
Gare de Limoges-Bénédictins;Gare de Orléans;203
Gare de Limoges-Bénédictins;Gare de Vierzon;129
Gare de Argenton-sur-Creuse;Gare de Limoges-Bénédictins;74
Gare de Chartres;Gare de Voves;23
Gare de Angers-St-Laud;Gare de Chartres;163
Gare de Poitiers;Gare de Tours;74
Gare de Niort;Gare de Poitiers;59
Gare de La Rochelle-Ville;Gare de Poitiers;100
Gare de La Rochelle-Ville;Gare de Niort;44
Gare de La Roche-sur-Yon;Gare de Tours;199
Gare de La Rochelle-Ville;Gare de Rochefort;30
Gare de Bordeaux-St-Jean;Gare de Saintes;99
Gare de Royan;Gare de Saintes;26
Gare de Angoulême;Gare de La-Rochelle-Pt-Dauphine;138
Gare de Angoulême;Gare de La Rochelle-Ville;126
Gare de Bordeaux-St-Jean;Gare de La-Rochelle-Pt-Dauphine;164
Gare de Bordeaux-St-Jean;Gare de La Rochelle-Ville;162
Gare de Angoulême;Gare de Bordeaux-St-Jean;89
Gare de Bordeaux-St-Jean;Gare de Libourne;35
Gare de Angoulême;Gare de Coutras;55
Gare de Bordeaux-St-Jean;Gare de Coutras;47
Gare de Bordeaux-St-Jean;Gare de St-Mariens-St-Yzan;43
Gare de Bordeaux-St-Jean;Gare de Brive-la-Gaillarde;143
Gare de Bordeaux-St-Jean;Gare de Périgueux;82
Gare de Bordeaux-St-Jean;Gare de Condat-le-Lardin;121
Gare de Bordeaux-St-Jean;Gare de Tulle;193
Gare de Condat-le-Lardin;Gare de Périgueux;34
Gare de Mussidan;Gare de Périgueux;30
Gare de Bordeaux-St-Jean;Gare de Limoges-Bénédictins;145
Gare de Bergerac;Gare de Bordeaux-St-Jean;76
Gare de Bordeaux-St-Jean;Gare de Sarlat;144
Gare de Bordeaux-St-Jean;Gare de Le Buisson;110
Gare de Le Buisson;Gare de Périgueux;53
Gare de Agen;Gare de Limoges-Bénédictins;216
Gare de Monsempron-Libos;Gare de Périgueux;104
Gare de Bordeaux-St-Jean;Gare de Morcenx;60
Gare de Bordeaux-St-Jean;Gare de Pauillac;59
Gare de Lesparre;Gare de Pessac;72
Gare de Bordeaux-St-Jean;Gare de Macau;41
Gare de Macau;Gare de Pessac;34
Gare de Arcachon;Gare de Bordeaux-St-Jean;52
Gare de Biganos-Facture;Gare de Bordeaux-St-Jean;29
Gare de Bordeaux-St-Jean;Gare de Hendaye;178
Gare de Bayonne;Gare de Dax;44
Gare de Bayonne;Gare de Hendaye;37
Gare de Agen;Gare de Marmande;36
Gare de Bordeaux-St-Jean;Gare de Marmande;67
Gare de Agen;Gare de Langon;69
Gare de Bayonne;Gare de Tarbes;145
Gare de Bordeaux-St-Jean;Gare de Pau;132
Gare de Bordeaux-St-Jean;Gare de Tarbes;188
Gare de Bordeaux-St-Jean;Gare de Lourdes;174
Gare de Le Dorat;Gare de Poitiers;60
Gare de Limoges-Bénédictins;Gare de St-Junien;38
Gare de Limoges-Bénédictins;Gare de St-Yrieix-la-Perche;39
Gare de Eymoutiers-Vassiviere;Gare de Limoges-Bénédictins;45
Gare de Limoges-Bénédictins;Gare de Montluçon-Ville;131
Gare de Felletin-Gare;Gare de Guéret;52
Gare de Bordeaux-St-Jean;Gare de Montluçon-Ville;259
Gare de Bordeaux-St-Jean;Gare de Guéret;208
Gare de Bordeaux-St-Jean;Gare de Ussel;262
Gare de Périgueux;Gare de Ussel;169
Gare de La Souterraine;Gare de Limoges-Bénédictins;47
Gare de Châteauroux;Gare de Limoges-Bénédictins;86
Gare de Rodez;Gare de Toulouse-Matabiau;137
Gare de Carmaux;Gare de Toulouse-Matabiau;76
Gare de Brive-la-Gaillarde;Gare de Rodez;145
Gare de Colomiers;Gare de Toulouse-Matabiau;22
Gare de L'Isle-Jourdain (Gers);Gare de Saint-Cyprien-Arènes;33
Gare de Colomiers;Gare de Saint-Cyprien-Arènes;13
Gare de Carcassonne;Gare de Toulouse-Matabiau;74
Gare de Capdenac;Gare de Toulouse-Matabiau;137
Gare de Tessonnières;Gare de Toulouse-Matabiau;53
Gare de Aurillac;Gare de Clermont-Ferrand;152
Gare de Arvant;Gare de Clermont-Ferrand;47
Gare de Pamiers;Gare de Toulouse-Matabiau;57
Gare de Latour-de-Carol-Enveitg;Gare de Toulouse-Matabiau;174
Gare de Foix;Gare de Latour-de-Carol-Enveitg;105
Gare de Brive-la-Gaillarde;Gare de Toulouse-Matabiau;147
Gare de Cahors;Gare de Toulouse-Matabiau;74
Gare de Montauban-Ville-Bourbon;Gare de Toulouse-Matabiau;43
Gare de Brive-la-Gaillarde;Gare de Cahors;66
Gare de Agen;Gare de Toulouse-Matabiau;81
Gare de St-Sulpice (Tarn);Gare de Toulouse-Matabiau;24
Gare de Muret;Gare de Toulouse-Matabiau;19
Gare de Boussens;Gare de Toulouse-Matabiau;58
Gare de Montréjeau-Gourdan-Pol.;Gare de Toulouse-Matabiau;86
Gare de Tarbes;Gare de Toulouse-Matabiau;109
Gare de Clermont-Ferrand;Gare de Durtol-Nohanent;13
Gare de Clermont-Ferrand;Gare de St-Germain-des-Fossés;40
Gare de Clermont-Ferrand;Gare de Nevers;106
Gare de Clermont-Ferrand;Gare de Vic-le-Comte;21
Gare de Brioude;Gare de Clermont-Ferrand;67
Gare de Clermont-Ferrand;Gare de Issoire;40
Gare de Clermont-Ferrand;Gare de Le Lioran;111
Gare de Brive-la-Gaillarde;Gare de Neussargues;168
Gare de Clermont-Ferrand;Gare de Nîmes;307
Gare de Nevers;Gare de Vic-le-Comte;124
Gare de Moulins-sur-Allier;Gare de Vic-le-Comte;92
Gare de St-Germain-des-Fossés;Gare de Vic-le-Comte;66
Gare de Issoire;Gare de Moulins-sur-Allier;113
Gare de Issoire;Gare de Riom-Châtel-Guyon;57
Gare de Riom-Châtel-Guyon;Gare de Vic-le-Comte;38
Gare de Issoire;Gare de St-Germain-des-Fossés;88
Gare de Gannat;Gare de Issoire;81
Gare de Gannat;Gare de Vic-le-Comte;66
Gare de Brioude;Gare de Gannat;100
Gare de Brioude;Gare de Moulins-sur-Allier;149
Gare de Clermont-Ferrand;Gare de Dijon-Ville;260
Gare de Dijon-Ville;Gare de Moulins-sur-Allier;178
Gare de Clermont-Ferrand;Gare de Lyon-Perrache;171
Gare de Narbonne;Gare de Perpignan;46
Gare de Lunel;Gare de Narbonne;100
Gare de Montpellier-Saint-Roch;Gare de Narbonne;71
Gare de Cerbère;Gare de Narbonne;87
Gare de Montpellier-Saint-Roch;Gare de Perpignan;130
Gare de Nîmes;Gare de Toulouse-Matabiau;210
Gare de Montpellier-Saint-Roch;Gare de Toulouse-Matabiau;176
Gare de Carcassonne;Gare de Narbonne;36
Gare de Carcassonne;Gare de Nîmes;140
Gare de Perpignan;Gare de Toulouse-Matabiau;154
Gare de Cerbère;Gare de Toulouse-Matabiau;199
Gare de Carcassonne;Gare de Perpignan;91
Gare de Avignon-Centre;Gare de Sète;109
Gare de Montpellier-Saint-Roch;Gare de Nîmes;43
Gare de Avignon-Centre;Gare de Montpellier-Saint-Roch;76
Gare de Avignon-Centre;Gare de Narbonne;144
Gare de Nîmes;Gare de Sète;66
Gare de Lunel;Gare de Sète;54
Gare de Montpellier-Saint-Roch;Gare de Sète;23
Gare de Lunel;Gare de Montpellier-Saint-Roch;20
Gare de Avignon-Centre;Gare de Nîmes;37
Gare de Nîmes;Gare de Perpignan;160
Gare de Narbonne;Gare de Nîmes;98
Gare de Cerbère;Gare de Nîmes;197
Gare de Avignon-Centre;Gare de Perpignan;196
Gare de Avignon-Centre;Gare de Cerbère;238
Gare de Béziers;Gare de Marseille-St-Charles;171
Gare de Marseille-St-Charles;Gare de Narbonne;188
Gare de Marseille-St-Charles;Gare de Montpellier-Saint-Roch;119
Gare de Cerbère;Gare de Montpellier-Saint-Roch;154
Gare de Génolhac;Gare de Nîmes;77
Gare de La Bastide-St-Laurent;Gare de Nîmes;114
Gare de Nîmes;Gare de Vauvert;24
Gare de Béziers;Gare de St-Chély-d'Apcher;244
Gare de Béziers;Gare de Millau;117
Gare de Millau;Gare de St-Chély-d'Apcher;111
Gare de Montpellier-Saint-Roch;Gare de St-Chély-d'Apcher;297
Gare de Marseille-St-Charles;Gare de Miramas;33
Gare de Avignon-Centre;Gare de Orange;26
Gare de Avignon-Centre;Gare de Avignon-TGV;5
Gare de Avignon-Centre;Gare de Carpentras;28
Gare de Avignon-TGV;Gare de Carpentras;41
Gare de Avignon-TGV;Gare de Marseille-St-Charles;133
Gare de Cavaillon;Gare de Marseille-St-Charles;70
Gare de Gardanne;Gare de Marseille-St-Charles;36
Gare de Aix-en-Provence;Gare de Manosque-Gréoux;45
Gare de Manosque-Gréoux;Gare de Marseille-St-Charles;95
Gare de Aubagne;Gare de Marseille-St-Charles;31
Gare de Aubagne;Gare de Marseille-Blancarde;22
Gare de Cannes;Gare de Menton;69
Gare de Antibes;Gare de Grasse;41
Gare de Cannes;Gare de Les Arcs-Draguignan;55
Gare de Cannes;Gare de St-Raphaël-Valescure;38
Gare de Hyères;Gare de Marseille-St-Charles;84
Gare de Hyères;Gare de Toulon;21
Gare de Les Arcs-Draguignan;Gare de Toulon;60
Gare de Carnoules;Gare de Toulon;31
Gare de Marseille-St-Charles;Gare de Menton;205
Gare de Ambérieu-en-Bugey;Gare de Mâcon-Ville;54
Gare de Ambérieu-en-Bugey;Gare de Bourg-en-Bresse;23
Gare de Bourg-en-Bresse;Gare de Mâcon-Ville;29
Gare de Chambéry-Chal.-les-Eaux;Gare de Moûtiers-Salins-Brides;80
Gare de Aix-les-Bains-le-Revard;Gare de Bourg-St-Maurice;129
Gare de Ambérieu-en-Bugey;Gare de Chambéry-Chal.-les-Eaux;73
Gare de Chambéry-Chal.-les-Eaux;Gare de Grenoble;53
Gare de Annecy;Gare de St-Gervais-L-B-Le-Fayet;97
Gare de Bellegarde-s-V. Gare;Gare de La Roche-sur-Foron;65
Gare de Grenoble U.-Gières;Gare de Valence-Ville;97
Gare de Grenoble U.-Gières;Gare de St-Marcellin;53
Gare de St-Marcellin;Gare de Valence-Ville;39
Gare de Grenoble;Gare de St-Marcellin;40
Gare de Grenoble U.-Gières;Gare de Rives;43
Gare de Grenoble U.-Gières;Gare de St-André-le-Gaz;69
Gare de Grenoble;Gare de St-André-le-Gaz;62
Gare de Grenoble;Gare de Rives;30
Gare de Gap;Gare de Grenoble;181
Gare de Clelles-Mens;Gare de Grenoble;71
Gare de Grenoble;Gare de Veynes-Dévoluy;134
Gare de Chambéry-Chal.-les-Eaux;Gare de Rives;90
Gare de Lyon-Part-Dieu;Gare de Mâcon-Ville;62
Gare de Lyon-Perrache;Gare de Mâcon-Ville;60
Gare de Lyon-Perrache;Gare de Valence-Ville;70
Gare de Lyon-Part-Dieu;Gare de Valence-Ville;71
Gare de Mâcon-Ville;Gare de Valence-Ville;138
Gare de Marseille-St-Charles;Gare de Valence-Ville;145
Gare de Mâcon-Ville;Gare de Pierrelatte;189
Gare de Avignon-Centre;Gare de Mâcon-Ville;235
Gare de Avignon-Centre;Gare de Valence-Ville;89
Gare de Avignon-Centre;Gare de Lyon-Perrache;168
Gare de Firminy;Gare de Lyon-Perrache;82
Gare de Firminy;Gare de St-Etienne-Châteaucreux;22
Gare de Lyon-Perrache;Gare de St-Etienne-Châteaucreux;55
Gare de Givors-Ville;Gare de Lyon-Perrache;25
Gare de Bourg-en-Bresse;Gare de Oyonnax;53
Gare de Lyon-Perrache;Gare de Oyonnax;130
Gare de Bourg-en-Bresse;Gare de Lyon-Perrache;65
Gare de Bourg-en-Bresse;Gare de Lyon-Part-Dieu;42
Gare de Lyon-Perrache;Gare de Roanne;89
Gare de Ambérieu-en-Bugey;Gare de St-Etienne-Châteaucreux;97
Gare de Ambérieu-en-Bugey;Gare de Givors-Ville;64
Gare de Lyon-Part-Dieu;Gare de St-Etienne-Châteaucreux;46
Gare de Givors-Ville;Gare de Lyon-Part-Dieu;17
Gare de Ambérieu-en-Bugey;Gare de Lyon-Part-Dieu;41
Gare de Roanne;Gare de St-Etienne-Châteaucreux;73
Gare de Lyon-Perrache;Gare de Vienne;34
Gare de Vienne;Gare de Villefranche-sur-Saône;74
Gare de Mâcon-Ville;Gare de Vienne;98
Gare de Lyon-Perrache;Gare de Villefranche-sur-Saône;36
Gare de Lyon-Perrache;Gare de St-André-le-Gaz;56
Gare de Bourgoin-Jallieu;Gare de Lyon-Perrache;37
Gare de Die;Gare de Romans-Bourg-de-Péage;83
Gare de Lyon-Perrache;Gare de Sathonay-Rillieux;19
Gare de Montbrison;Gare de St-Etienne-Châteaucreux;40
Gare de Boën;Gare de St-Etienne-Châteaucreux;53
Gare de Le Puy-en-Velay;Gare de St-Etienne-Châteaucreux;113
Gare de Bas-Monistrol;Gare de St-Etienne-Châteaucreux;55
Gare de Lyon-St-Paul;Gare de Sain-Bel;42
Gare de L'Arbresle;Gare de Lyon-St-Paul;37
Gare de Lozanne;Gare de Tassin;25
Gare de Brignais;Gare de Lyon-St-Paul;25
Gare de Laroche-Migennes;Gare de Paris-Gare-de-Lyon;125
Gare de Montereau;Gare de Paris-Gare-de-Lyon;57
Gare de Laroche-Migennes;Gare de Paris-Bercy;124
Gare de Corbigny;Gare de Paris-Bercy;213
Gare de Corbigny;Gare de Paris-Gare-de-Lyon;215
Gare de Auxerre-St-Gervais;Gare de Paris-Bercy;105
Gare de Clamecy;Gare de Paris-Bercy;165
Gare de Clamecy;Gare de Paris-Gare-de-Lyon;159
Gare de Avallon;Gare de Paris-Bercy;158
Gare de Avallon;Gare de Paris-Gare-de-Lyon;160
Gare de Auxerre-St-Gervais;Gare de Paris-Gare-de-Lyon;119
Gare de Auxerre-St-Gervais;Gare de Dijon-Ville;114
Gare de Chalon-sur-Saône;Gare de Dijon-Ville;43
Gare de Is-sur-Tille;Gare de Les Laumes-Alésia;76
Gare de Bourg-en-Bresse;Gare de Dijon-Ville;102
Gare de Chalon-sur-Saône;Gare de Mâcon-Ville;39
Gare de Corbigny;Gare de Laroche-Migennes;113
Gare de Dijon-Ville;Gare de Montchanin;45
Gare de Dijon-Ville;Gare de Le Creusot;53
Gare de Autun;Gare de Dijon-Ville;91
Gare de Chalon-sur-Saône;Gare de Montchanin;39
Gare de Etang;Gare de Montchanin;30
Gare de Autun;Gare de Nevers;94
Gare de Montchanin;Gare de Paray-le-Monial;43
Gare de Decize;Gare de Moulins-sur-Allier;75
Gare de Cosne-sur-Loire;Gare de Nevers;48
Gare de Cosne-sur-Loire;Gare de Decize;89
Gare de Belfort-Ville;Gare de Besançon-Viotte;71
Gare de Dijon-Ville;Gare de Dole-Ville;28
Gare de Belfort-Ville;Gare de Epinal;92
Gare de Belfort-Ville;Gare de Montbéliard-Ville;15
Gare de Delle;Gare de Meroux;17
Gare de Besançon-Mouillère;Gare de Le Valdahon;43
Gare de Besançon-Mouillère;Gare de Morteau;82
Gare de Besançon-Viotte;Gare de Saint-Claude;148
Gare de Dole-Ville;Gare de Pontarlier;75
Gare de Andelot;Gare de Dole-Ville;41
Gare de Besançon-Viotte;Gare de Lyon-Perrache;176
Gare de Lyon-Part-Dieu;Gare de Mouchard;128
Gare de Besançon-Viotte;Gare de Lyon-Part-Dieu;159
Gare de Lyon-Perrache;Gare de Mouchard;139
Gare de Besançon-Viotte;Gare de Bourg-en-Bresse;118
Gare de Belfort-Ville;Gare de Lyon-Part-Dieu;230
Gare de Belfort-Ville;Gare de Bourg-en-Bresse;186
Gare de Belfort-Ville;Gare de Lyon-Perrache;244
Gare de Lons-le-Saunier;Gare de Lyon-Perrache;103
Gare de Belfort-Ville;Gare de Lons-le-Saunier;144
Gare de Besançon-Viotte;Gare de Lons-le-Saunier;89
Gare de Bourg-en-Bresse;Gare de Mouchard;81
